id_area;id_programa;ies;nome_programa;inicio_mestrado;inicio_doutorado;conceito_recomendado;id_instituicao 
1;31008011001P9;IMPA-OS;MATEMÁTICA;1962;1962;7;63
1;33003017003P5;UNICAMP;MATEMÁTICA;1972;1976;7;182
1;33002010007P4;USP;ESTATÍSTICA;1970;1970;7;249
1;53001010003P2;UNB;MATEMÁTICA;1971;1975;7;157
1;33002010005P1;USP;MATEMÁTICA;1970;1970;6;249
1;33002045003P5;USP/SC;MATEMÁTICA;1970;1970;6;254
1;31001017003P7;UFRJ;MATEMÁTICA;1970;1972;6;137
1;33003017004P1;UNICAMP;MATEMÁTICA APLICADA;1977;1990;5;182
1;25001019003P0;UFPE;MATEMÁTICA;1967;1984;5;131
1;42001013003P8;UFRGS;MATEMÁTICA;1978;1995;5;136
1;31005012003P2;PUC-RIO;MATEMÁTICA;1969;1974;5;83
1;33001014007P8;UFSCAR;MATEMÁTICA;1987;1996;5;143
1;22001018003P1;UFC;MATEMÁTICA;1965;1995;5;115
1;32001010003P0;UFMG;MATEMÁTICA;1971;2001;5;124
1;33002010006P8;USP;MATEMÁTICA APLICADA;1970;1970;5;249
1;31001017005P0;UFRJ;ESTATÍSTICA;1981;2001;5;137
1;33003017006P4;UNICAMP;ESTATÍSTICA;1977;2006;4;182
1;33004153071P0;UNESP/SJRP;MATEMÁTICA APLICADA;1998;;4;177
1;32001010053P7;UFMG;ESTATÍSTICA;1996;2005;4;124
1;25001019048P3;UFPE;ESTATÍSTICA;1996;2007;4;131
1;52001016001P3;UFG;MATEMÁTICA;1973;;4;119
1;41001010001P6;UFSC;MATEMÃTICA E COMPUTAÃ‡ÃƒO CIENTÃFICA;1976;;4;142
1;40004015013P7;UEM;MATEMÁTICA;1999;;4;102
1;31003010003P3;UFF;MATEMÁTICA;1969;;4;118
1;42001013063P0;UFRGS;MATEMÁTICA APLICADA;1995;2000;4;136
1;33004153047P1;UNESP/SJRP;MATEMÁTICA;1989;;4;177
1;40001016041P1;UFPR;MATEMÁTICA APLICADA;2002;;4;133
1;33001014017P3;UFSCAR;ESTATÍSTICA;1997;2006;3;143
1;31001017109P0;UFRJ;MATEMÁTICA APLICADA;1996;;3;137
1;24001015035P6;UFPB/J.P.;MATEMÁTICA;1994;;3;130
1;26001012015P0;UFAL;MATEMÁTICA;2004;;3;112
1;23001011042P0;UFRN;MATEMÁTICA APLICADA E ESTATISTICA;2006;;3;138
1;24009016012P7;UFCG;MATEMÁTICA;2003;;3;116
1;15001016041P0;UFPA;MATEMÁTICA E ESTATÍSTICA;2004;;3;128
1;28001010003P1;UFBA;MATEMÁTICA;1969;;3;114
1;12001015015P1;UFAM;MATEMÁTICA;1998;;3;113
1;30001013023P5;UFES;MATEMÁTICA;2006;;3;117
